species,value,target,compliant
BOD,30.82020661772939,30.0,False
COD,79.7200395323911,125.0,True
TOC,0.43465361116001827,30.0,True
NH4,9.91230789236545,5.0,False
NO3,7.596720679573661,15.0,True
PO4,2.7939463950709715,2.0,False
SS,27.779523109566735,35.0,True
Phenol,1.3092656273759132e-09,0.1,True
Formaldehyde,0.031036326729710233,0.05,True
Glutaraldehyde,0.14229478771324133,0.2,True
Detergent,0.002978890618943273,0.2,True
Oils,1.2201953025301775,2.0,True
Pb,0.03965856872241965,0.05,True
CBZ,5.730775229568669e-11,0.0003,True
DCF,7.419026794214746e-12,0.0002,True
pH,6.882407653876424,7.0,True
