species,value,target,compliant
BOD,35.7407468405596,30.0,False
COD,86.10111901417572,125.0,True
TOC,0.0015565292373548624,30.0,True
NH4,10.28071984996958,5.0,False
NO3,6.642670391087714,15.0,True
PO4,2.9055400383962726,2.0,False
SS,31.493609052243173,35.0,True
Phenol,2.097785682468254e-16,0.1,True
Formaldehyde,0.03543119780023135,0.05,True
Glutaraldehyde,0.15292443814881684,0.2,True
Detergent,2.614107132970162e-06,0.2,True
Oils,1.3381921978253868,2.0,True
Pb,0.039742876823228766,0.05,True
CBZ,1.555270105059876e-16,0.0003,True
DCF,2.701800429817772e-19,0.0002,True
pH,6.856964428148369,7.0,True
